SpeciesAccepted,Kingdom,Lat,Lon
Mimulus_cardinalis,Plantae,43.413699999999999,-122.7804
Mimulus_cardinalis,Plantae,43.37876,-122.9521
Mimulus_cardinalis,Plantae,42.27525,-123.64
Mimulus_cardinalis,Plantae,41.80979,-123.1189
Mimulus_cardinalis,Plantae,41.665460000000003,-123.1134
Mimulus_cardinalis,Plantae,39.742980000000003,-120.70399999999999
Mimulus_cardinalis,Plantae,39.732619999999997,-121.40389999999999
Mimulus_cardinalis,Plantae,39.712090000000003,-121.2748
Mimulus_cardinalis,Plantae,39.553840000000001,-120.98779999999999
Mimulus_cardinalis,Plantae,39.520400000000002,-120.9982
Mimulus_cardinalis,Plantae,39.457850000000001,-121.06180000000001
Mimulus_cardinalis,Plantae,39.397039999999997,-121.08199999999999
Mimulus_cardinalis,Plantae,37.985550000000003,-120.2045
Mimulus_cardinalis,Plantae,37.818779999999997,-120.0073
Mimulus_cardinalis,Plantae,37.81006,-119.85680000000001
Mimulus_cardinalis,Plantae,37.77722,-120.0633
Mimulus_cardinalis,Plantae,37.672029999999999,-119.8182
Mimulus_cardinalis,Plantae,37.642319999999998,-119.9248
Mimulus_cardinalis,Plantae,37.538220000000003,-119.6514
Mimulus_cardinalis,Plantae,36.689520000000002,-118.9096
Mimulus_cardinalis,Plantae,36.518830000000001,-118.7603
Mimulus_cardinalis,Plantae,36.206960000000002,-118.7269
Mimulus_cardinalis,Plantae,36.200809999999997,-118.65089999999999
Mimulus_cardinalis,Plantae,36.137560000000001,-118.5741
Mimulus_cardinalis,Plantae,35.852899999999998,-118.4473
Mimulus_cardinalis,Plantae,34.28425,-117.3754
Mimulus_cardinalis,Plantae,34.07808,-116.87560000000001
Mimulus_cardinalis,Plantae,33.993290000000002,-116.6627
Mimulus_cardinalis,Plantae,32.89913,-116.5865
Mimulus_cardinalis,Plantae,32.75206,-116.4522
Mimulus_cardinalis,Plantae,32.65822,-116.53230000000001
Helianthemum_squamatum,Plantae,40.075539999999997,-3.6011920000000002
Helianthemum_squamatum,Plantae,40.075539999999997,-3.6011920000000002
Helianthemum_squamatum,Plantae,40.075539999999997,-3.6011920000000002
Dianthus_morisianus,Plantae,39.408360999999999,8.4111849999999997
Reynoutria_japonica,Plantae,42.805999999999997,-84.447000000000003
Reynoutria_japonica,Plantae,42.36,-85.387
Reynoutria_japonica,Plantae,42.427999999999997,-83.533000000000001
Reynoutria_japonica,Plantae,42.954000000000001,-84.424999999999997
Reynoutria_japonica,Plantae,42.805999999999997,-84.447000000000003
Reynoutria_japonica,Plantae,42.36,-85.387
Reynoutria_japonica,Plantae,42.427999999999997,-83.533000000000001
